ID,Date,Service,Company,Parent,Location,Amount,Contract_ID,Text,Link
11,2/4/2014,DEFENSE LOGISTICS AGENCY,Denisply Caulk,Denisply Caulk,Milford Del.,"$13,098,664 ",SPM2DE-09-D-7445,"Denisply Caulk, Milford, Del., has been awarded a maximum $13,098,664 modification (P00011) exercising the fourth option year on a 16-month base contract (SPM2DE-09-D-7445) with three one-year option periods and one eight-month option period for distribution of a wide range of general dental supplies. This is a fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract. Location of performance Delaware with an Oct. 11, 2014 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
12,2/4/2014,NAVY,Electric Boat Corp.,General Dynamics Corp.,Groton Conn.,"$520,000,000 ",N00024-12-C-2115,"Electric Boat Corp., Groton, Conn., is being awarded a $520,000,000 undefinitized contract action under existing contract (N00024-12-C-2115), for additional long lead time material associated with the two fiscal 2015 Virginia-class submarines (SSN 794 and SSN 795) and the two fiscal 2016 Virginia-class submarines (SSN 796 and SSN 797). This contract modification provides additional long lead time material for steam and electric plant components, the main propulsion unit efforts and ship service turbine generator efforts, steel and miscellaneous hull, mechanical and electrical system components. Work will be performed in Sunnyvale, Calif. (30 percent); Coatesville, Pa. (10 percent); Phillipsburg, N.J. (10 percent); Groton, Conn. (7 percent); Newport News, Va. (7 percent); Tempe, Ariz. (5 percent); Charlottesville, Va. (3 percent); East Farmingdale, N.Y. (3 percent); Tucson, Ariz. (3 percent); Florence, N.J. (2 percent); Manchester, N.H. (2 percent); Milwaukee, Wis. (2 percent); Peoria, Ill. (2 percent); Warren, Mass. (2 percent), and other efforts performed at various sites, less than one percent, throughout the United States (12 percent). Work is expected to be complete by January 2015. Fiscal 2014 shipbuilding and conversion, Navy funds in the amount of $283,711,000 will be obligated at the time of the award. Contract funds will not expire at the end of the current fiscal year. This contract was a sole source in accordance with 10 U.S.C. 2304(c)(1) - only one responsible source and no other supplies or services will satisfy agency requirements. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-12-C-2115).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
13,2/4/2014,NAVY,The Boeing Co.,Boeing Co.,Seattle Wash.,"$21,697,098 ",N00019-12-C-0112,"The Boeing Co., Seattle, Wash., was awarded a $21,697,098 modification to a previously awarded firm-fixed-price contract (N00019-12-C-0112) on Feb. 3, 2014, to exercise an option for instructional system design courseware and training support for the P-8A program. Work will be performed in St. Louis, Mo., and is expected to be completed in December 2016. Fiscal 2014 aircraft procurement, Navy funds in the amount of $21,697,098 are being obligated at the time of award, none of which will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Md., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
14,2/5/2014,AIR FORCE,General Atomics Aeronautical Systems Inc.,General Atomics,Poway Calif.,"$117,286,467 ",FA8620-10-G-3038,"General Atomics Aeronautical Systems Inc., Poway, Calif., has been awarded a not-to-exceed $117,286,467 undefinitized contract action (0118) for an existing firm-fixed-price contract (FA8620-10-G-3038) for the MQ-9 Accelerated Extended Range effort which will field 38 MQ-9 Extended Range aircraft. Work will be completed in Poway, Calif., and is expected to be completed by July 7, 2016. Fiscal 2013 research and development funds in the amount of $6,597,174, fiscal 2013 procurement funds in the amount of $31,304,722, and fiscal 2014 research and development funds in the amount of $3,605,250 will be obligated for a total obligation of $41,507,146 at contract award. This award is a result of sole-source acquisition. Air Force Lifecycle Management Center/WIIK, Medium Altitude Unmanned Aircraft Systems, Wright-Patterson Air Force Base, Ohio, is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
15,2/5/2014,AIR FORCE,General Atomics Aeronautical Systems Inc.,General Atomics,Poway Calif.,"$16,595,766 ",FA8620-10-G-3038,"General Atomics Aeronautical Systems Inc., Poway, Calif., has been awarded a $16,595,766 delivery order (0114) for an existing contract (FA8620-10-G-3038) for Lead-off Hitter AFSOC MQ-9 Software Line which will provide MQ-9 software engineering support for the AFSOC fleet of MQ-9 unmanned aerial systems. Work will be performed in Poway, Calif., and is expected to be completed by Feb. 6, 2015. Fiscal 2013 research and development funds in the amount of $2,063,006 are being obligated at time of award. Air Force Life Cycle Management Center/WIIK, Medium Altitude Unmanned Aircraft Systems, Wright-Patterson Air Force Base, Ohio, is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
16,2/5/2014,ARMY,Cray Inc.*,Cray Inc.,Seattle Wash.,"$21,800,000 ",W912DY-13-G-0022,"Cray Inc.*, Seattle, Wash., was awarded a $21,800,000 modification (P0001) to contract W912DY-13-G-0022 to acquire balanced, commercially available, production-grade high performance computing systems to conduct complex, large-scale scientific calculations at the U.S. Air Force Research Laboratory DoD Supercomputing Resource Center. Fiscal 2013 other procurement, Army funds in the amount of $21,800,000 were obligated at the time of the award. Estimated completion date is July 28, 2018. Work will be performed at Wright-Patterson, Air Force Base, Ohio. Army Corps of Engineers, Huntsville, Ala., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
17,2/5/2014,ARMY,Cray Inc.*,Cray Inc.,Seattle Wash.,"$21,800,000 ",W912DY-13-G-0022,"Cray Inc.*, Seattle, Wash. was awarded a $21,800,000 modification (P0002) to contract W912DY-13-G-0022 to acquire balanced, commercially available, production-grade high performance computing systems to conduct complex, large-scale scientific calculations at U.S. Navy DoD Supercomputing Resource Center John C. Stennis Space Center in Mississippi. Fiscal 2013 other procurement, Army funds in the amount of $21,800,000 were obligated at the time of the award. Estimated completion date is July 28, 2018. Work will be performed at the Stennis Space Center, Miss.. Army Corps of Engineers, Huntsville, Ala., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
18,2/5/2014,ARMY,Raytheon Co.,Raytheon Co.,McKinney Texas,"$16,286,396 ",W56HZV-14-C-0066,"Raytheon Co., McKinney, Texas, was awarded a $16,286,396 firm-fixed-price, foreign military sales contract for 22 modified improved target acquisition systems for the Royal Saudi Land Forces SWORD program and three for the Saudi Arabian National Guard. Estimated completion date is June 30, 2015. Bids were solicited via the Web with one received. Work will be performed in McKinney, Texas. Army Contracting Command, Warren, Mich., is the contracting activity (W56HZV-14-C-0066).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
19,2/5/2014,ARMY,HRD Engineering,HRD Engineering,Kansas City Mo.,"$9,500,000 ",W912DQ-14-D-1001,"HRD Engineering, Kansas, City, Mo., was awarded a $9,500,000 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for architectural and engineering civil works for the Corps of Engineers Kansas City District. Funding and work location will be determined with each order. Estimated completion date is Feb. 4, 2019. Bids were solicited via the Internet with 11 received. Corps of Engineers, Kansas, City, Mo., is the contracting activity (W912DQ-14-D-1001).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
20,2/5/2014,DEFENSE LOGISTICS AGENCY,Wright & Wright Machinery Company Inc.*,Wright & Wright Machinery Co.,Monticello Ky.,"$87,500,000 ",SPM8EC-11-R-0008,"Wright & Wright Machinery Company Inc.*, Monticello, Ky., has been awarded a maximum $87,500,000 fixed-price with economic-price-adjustment contract for the procurement of commercial type agricultural equipment. This contract is a competitive acquisition and nine offers were received. This contract is one of up to five contracts being issued against solicitation number SPM8EC-11-R-0008 and with requirements that specifically call for agricultural equipment within the product line and will be competed amongst other contractors who receive a contract under this solicitation. This is a five-year base contract. Locations of performance are Kentucky and Korea, with a Feb. 4, 2019 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2019 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa., (SPE8EC-14-D-0012).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
21,2/5/2014,DEFENSE LOGISTICS AGENCY,ReadyMat US LLC*,ReadyMat US LLC,Lake Charles La.,"$9,000,000 ",SPE8E6-14-D-0001,"ReadyMat US LLC*, Lake Charles, La., has been awarded a maximum $9,000,000 fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract for foldable fiberglass mats. This contract is a competitive acquisition, and three offers were received. This is a two year base contract with three one-year option periods. Location of performance is Louisiana with a Feb. 5, 2019 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa., (SPE8E6-14-D-0001).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
22,2/5/2014,NAVY,HELIX-Hon a Joint Venture Co.*,Helix-Hon,San Diego Calif.,"$30,000,000 ",N62473-14-D-1401,"HELIX-Hon a Joint Venture Co.*, San Diego, Calif., is being awarded a maximum amount $30,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity architect-engineering (A-E) contract for A-E services for the preparation of Navy and Marine Corps environmental planning documents for infrastructure projects in the Naval Facilities Engineering Command Southwest area of responsibility. The work to be performed provides for data collection, natural resource survey, and resource effects analysis work related to National Environmental Policy Act (NEPA) and other environmental planning services. Services will include, but are not limited to the preparation of the following primary NEPA related documents: environmental assessments; environmental impact statements; draft findings of no significant impacts; and draft records of decision. No task orders are being issued at this time. Work will be performed at various Navy and Marine Corps installations in California (85 percent), Arizona (6 percent), Nevada (6 percent), and other DoD installations and federal agencies in the United States (3 percent). The term of the contract is not to exceed 60 months with an expected completion date of February 2019. Fiscal 2014 environmental restoration, Navy contract funds in the amount of $5,000 are obligated on this award and will expire at the end of the current fiscal year. This contract was competitively procured via the Navy Electronic Commerce Online website, with eight proposals received. The Naval Facilities Engineering Command, Southwest, San Diego, Calif., is the contracting activity (N62473-14-D-1401).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
23,2/5/2014,NAVY,Allan C. Bamforth JR Engineer Surveyor Ltd.*,Allan C. Bamforth Jr Engineer Surveyor Ltd.,Norfolk Va.,"$15,000,000 ",N40085-14-D-8403,"Allan C. Bamforth JR Engineer Surveyor Ltd.*, Norfolk, Va., is being awarded a maximum amount $15,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity architect-engineering services contract for civil design and engineering services in the Naval Facilities Engineering Command (NAVFAC) Mid-Atlantic area of responsibility (AOR). Task order 0001 is being awarded at $702,229 for the design of a water treatment plant at Marine Corps Air Station, Cherry Point, N.C. Work for this task order is expected to be completed by September 2015. All work will be performed at various Navy and Marine Corps facilities and other government facilities located in the NAVFAC Mid-Atlantic AOR, primarily in Coastal North Carolina and the Hampton Roads region of Virginia; however, projects may be included throughout the NAVFAC Atlantic AOR. The term of the contract is not to exceed 60 months with an expected completion date of February 2019. Fiscal 2013 military construction (planning and design) contract funds in the amount of $702,229 are obligated on this award and will not expire at the end of the current fiscal year. This contract was competitively procured via the NAVFAC e-solicitation website, with eight proposals received. The Naval Facilities Engineering Command, Mid-Atlantic, Norfolk, Va., is the contracting activity (N40085-14-D-8403).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
24,2/5/2014,NAVY,Dignitas Technologies*,Dignitas Technologies Inc.,Orlando Fla.,"$7,685,234 ",N61340-14-C-6103,"Dignitas Technologies*, Orlando, Fla., is being awarded a $7,685,234 cost-plus-fixed-fee contract for research and development services in support of the Naval Air Warfare Center Training Systems Division's Environmental Representation Data and Effects Program. These services include simulation and environmental representation subject matter expertise, technology development and integration, and applied technology experimentation. Work will be performed in Orlando, Fla., and is expected to be completed in February 2017. Fiscal 2014 research, development, test and evaluation, Defense-wide funds in the amount of $290,000 are being obligated on this award, none of which will expire at the end of the current fiscal year. This contract was competitively procured via a Broad Agency Announcement; one offer was received. The Naval Air Warfare Center Training Systems Division, Orlando, Fla., is the contracting activity (N61340-14-C-6103).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5218
25,2/6/2014,ARMY,Sauer Inc.,Sauer Inc.,Jacksonville Fla.,"$56,038,640 ",W912QR-14-C-0006,"Sauer Inc., Jacksonville, Fla., was awarded a $56,038,640 contract to build an operational readiness training complex at Fort Hunter Liggett, Calif. Fiscal 2014 military construction funds in the amount of $56,038,640 were obligated at the time of the award. Estimated completion date is April 30, 2016. Bids were solicited via the Internet with 22 received. Work will be performed at Fort Hunter Liggett. Army Corps of Engineers, Louisville, Ky., is the contracting activity (W912QR-14-C-0006).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5219
26,2/6/2014,ARMY,Sundt Construction Inc.,Sundt Construction Inc.,Tempe Ariz.,"$25,750,000 ",W912QR-14-C-0007,"Sundt Construction Inc., Tempe, Ariz., was awarded a $25,750,000 firm-fixed-price contract to design and construct a battalion headquarters complex. Fiscal 2013 military construction funds in the amount of $25,750,000 were obligated at the time of the award. Estimated completion date is Aug. 14, 2015. Bids were solicited via the Internet with 22 received. Work will be performed at Fort Campbell, Ky. Army Corps of Engineers, Louisville, Ky., is the contracting activity (W912QR-14-C-0007).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5219
27,2/6/2014,ARMY,Gearhart Brothers Services*,Gearhart Brothers Services,Lancaster Pa,"$8,629,223 ",W56ZTN-14-D-0001,"Gearhart Brothers Services*, Lancaster, Pa, was awarded an $8,629,223 firm-fixed-price contract to provide sand, stone and gravel to Aberdeen Proving Ground. Funds and work location will be determined with each order. Estimated completion date is Feb. 9, 2017. Bids were solicited via the Internet with seven received. Army Contracting Command, Aberdeen Proving Ground Md., is the contracting activity (W56ZTN-14-D-0001).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5219
28,2/6/2014,DEFENSE LOGISTICS AGENCY,Produce One Inc.*,Produce One Inc.,Dayton Ohio,"$36,000,000 ",SPE300-14-D-S608,"Produce One Inc.*, Dayton, Ohio, has been awarded a maximum $36,000,000 fixed-price with economic-price-adjustment, indefinite-quantity contract for fresh fruit and vegetable support. This contract is a competitive acquisition and three offers were received. This is an 18-month base contract with two 18-month option periods. Location of performance is Ohio with an Aug. 5, 2015 performance completion date. Using military services are non-Department of Defense, Department of Agriculture school customers. Type of appropriation is fiscal 2014 through fiscal 2015 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.; (SPE300-14-D-S608).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5219
29,2/6/2014,DEFENSE THREAT REDUCTION AGENCY,Northern Arizona University,Northern Arizona University,Flagstaff Ariz,"$6,988,284 ",HDTRA1-14-C-0022,"Northern Arizona University, Flagstaff, Ariz, is being awarded a $6,988,284 cost-reimbursable contract for the characterization of antibody responses to melioidosis in humans and in animal models for the Defense Threat Reduction Agency in support of the Research and Development Enterprise. Bids were solicited and nine received. Work will be performed in Flagstaff, Ariz., and Darwin, Australia, and is expected to be completed February 2019. The contracting activity is Defense Threat Reduction Agency, Fort Belvoir, Va, (HDTRA1-14-C-0022).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5219
30,2/7/2014,ARMY,Aaski Technology Inc.*,Aaski Technology Inc.,Ocean N.J. (W15P7T-14-D-A218); Nexagen Networks Inc. Marlboro N.J. (W15P7T-14-D-A219J); Linquest Corp. Los Angeles Calif. (W1PP7T-14-D-A220); Systems Technologies Inc. West Long Branch N.J. (W15P7T-14-D-A221),"$497,000,000 ",W15P7T-14-D-A218,"Aaski Technology Inc.*, Ocean, N.J. (W15P7T-14-D-A218); Nexagen Networks Inc., Marlboro, N.J. (W15P7T-14-D-A219J); Linquest Corp., Los Angeles, Calif. (W1PP7T-14-D-A220); Systems Technologies Inc., West Long Branch, N.J. (W15P7T-14-D-A221) were awarded a $497,000,000 cost-plus-fixed-fee, indefinite-delivery/indefinite-quantity contract for technical administrative operations support services in the development and integration of command, control, communications, computers, intelligence, surveillance, and reconnaissance. Funding and work performance location will be determined with each. Estimated completion date is Feb. 7, 2019. Bids were solicited via the Internet with four received. Army Contracting Command is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5220
31,2/7/2014,ARMY,Snap-On,Snap-on,Kenosha Wis.,"$37,718,703 ",W58RGZ-14-D-0052,"Snap-On, Kenosha, Wis., was awarded a $37,718,703 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for aviation tool kits for maintenance services. Funding and work performance location will be determined with each order. Estimated completion date is Feb. 12, 2019. Bids were solicited via the Internet with four received. Army Contracting Command, Redstone Arsenal, Ala., is the contracting activity (W58RGZ-14-D-0052).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5220
32,2/7/2014,DEFENSE LOGISTICS AGENCY,Federal Contracts Corp.*,Federal Contracts Corp.,Tampa Fla.,"$157,500,000 ",SPM8EC-11-R-0006,"Federal Contracts Corp.*, Tampa, Fla., has been awarded a maximum $157,500,000 fixed-price with economic-price-adjustment contract for the procurement of commercial type environmental equipment. This contract is a competitive acquisition and 16 offers were received. This contract is one of up to nine contracts being issued against solicitation number SPM8EC-11-R-0006 and with requirements that specifically call for environmental equipment within the product line and will be competed amongst other contractors who receive a contract under this solicitation. This is a five-year base contract. Locations of performance are Florida and Iowa with a Feb. 6, 2019 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2019 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.; (SPE8EC-14-D-0010).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5220
33,2/7/2014,DEFENSE LOGISTICS AGENCY,Gentex Corporation,Gentex Corp.,Carbondale Pa.,"$14,580,000 ",SPE1C1-14-C-0004,"Gentex Corporation, Carbondale, Pa., has been awarded a maximum $14,580,000 firm-fixed-price contract for procurement of advanced combat helmets. This contract is a competitive acquisition and two offers were received. Location of performance is Pennsylvania with an Apr. 15, 2015 performance completion date. Using military services are Army, Navy, Air Force, and Marine Corps. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.; (SPE1C1-14-C-0004).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5220
34,2/7/2014,NAVY,Navmar Applied Sciences Corp.*,Navmar Applied Sciences Corp.,Warminster Pa.,"$12,500,411 ",N68335-14-C-0023,"Navmar Applied Sciences Corp.*, Warminster, Pa., is being awarded a $12,500,411 cost-plus-fixed-fee contract for development of a Biometric Identity Approval Sentinel that produces technology that rapidly processes individuals for threat detection and biometric matching. This project will provide a fully integrated, highly accurate, configurable, and deployable solution that combines current and new technologies to dramatically increase the safety, speed, and efficiency of access control. Work will be performed in Patuxent River, Md., and is expected to be completed in February 2017. Fiscal 2013 research, development, test and evaluation, Navy funds in the amount of $3,000,000 will be obligated at time of award, all of which will expire at the end of the current fiscal year. This contract was competitively procured via a Broad Agency Announcement. The Naval Air Warfare Center, Lakehurst, N.J., is the contracting activity (N68335-14-C-0023).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5220
